Country x Year,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Afghanistan,500,500,1000,1000,1000,1100,1300,1400,1600,1700,1900,2100,2300,2600,2800,3100,3300,3500,3800,4200,4500,4900,5300,5900,6400,6900
Albania,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Algeria,1000,1000,1000,1000,1100,1300,1400,1600,1900,2100,2400,2700,3000,3400,3800,4200,4600,5200,5800,6300,6900,7400,7900,8200,8600,8800
Angola,28000,33000,40000,48000,56000,66000,76000,87000,99000,110000,120000,140000,150000,160000,180000,190000,200000,220000,230000,240000,260000,270000,280000,290000,300000,320000
Argentina,26000,31000,35000,39000,43000,47000,51000,55000,58000,62000,66000,70000,73000,77000,80000,84000,87000,90000,93000,96000,99000,100000,100000,110000,110000,110000
Armenia,100,100,100,100,100,100,200,500,500,1000,1000,1300,1700,2000,2300,2500,2700,2800,2900,2900,3000,3000,3100,3200,3300,3600
Australia,14000,14000,14000,14000,14000,14000,14000,14000,15000,15000,15000,16000,16000,16000,17000,18000,19000,19000,20000,21000,21000,22000,23000,25000,26000,27000
Austria,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Azerbaijan,100,100,200,200,200,500,500,1000,1000,1100,1500,1800,2200,2600,3000,3500,4100,4700,5300,6000,6800,7500,8300,9100,9900,11000
Bahamas,2300,2700,3100,3500,3900,4200,4500,4700,5000,5100,5300,5500,5600,5800,6000,6200,6500,6700,6900,7100,7400,7600,7800,7900,7900,8100
Bangladesh,100,100,100,100,200,200,500,500,1000,1000,1100,1500,2100,2800,3600,4400,5100,5900,6700,7400,8100,8600,9000,9300,9500,9600
Barbados,500,500,500,500,1000,1000,1000,1000,1000,1000,1000,1100,1200,1300,1400,1600,1700,1800,1900,2000,2100,2300,2400,2500,2600,2600
Belarus,100,100,200,500,500,1000,1200,1900,2900,4100,5600,7200,9000,11000,13000,14000,16000,17000,18000,20000,21000,23000,25000,28000,31000,35000
Belgium,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Belize,100,100,100,200,200,500,500,1000,1000,1100,1500,2000,2400,2800,3000,3200,3200,3200,3200,3200,3300,3300,3400,3400,3500,3600
Benin,5100,8100,12000,17000,23000,29000,35000,40000,46000,51000,55000,58000,60000,61000,62000,62000,62000,61000,61000,63000,64000,65000,66000,67000,68000,69000
Bhutan,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Bolivia (Plurinational State of),5600,6900,8200,9400,11000,12000,13000,13000,14000,14000,14000,14000,14000,14000,14000,14000,14000,15000,15000,15000,16000,16000,17000,17000,18000,18000
Bosnia and Herzegovina,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Botswana,42000,61000,85000,110000,140000,170000,200000,220000,240000,260000,270000,270000,280000,280000,280000,290000,290000,300000,310000,310000,320000,330000,330000,340000,340000,350000
Brazil,290000,310000,330000,340000,350000,360000,380000,390000,410000,430000,460000,480000,500000,530000,550000,580000,600000,630000,650000,680000,700000,730000,750000,780000,800000,830000
Brunei Darussalam,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Bulgaria,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Burkina Faso,150000,160000,180000,190000,190000,190000,190000,180000,180000,170000,160000,150000,140000,130000,120000,110000,110000,100000,100000,99000,98000,97000,97000,96000,96000,95000
Burundi,24000,32000,41000,52000,64000,75000,85000,94000,100000,110000,110000,120000,120000,120000,110000,110000,110000,100000,100000,97000,93000,89000,86000,83000,80000,77000
