Country x Year,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Afghanistan,0.014633075,0.014633075,0.029266149,0.029266149,0.029266149,0.032192764,0.038045994,0.040972609,0.046825839,0.049752454,0.055605684,0.061458913,0.067312143,0.076091988,0.081945218,0.090725063,0.096578293,0.102431522,0.111211367,0.122917827,0.131697672,0.143404131,0.155110591,0.172670281,0.187303355,0.20193643
Albania,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Algeria,0.024352377,0.024352377,0.024352377,0.024352377,0.026787615,0.03165809,0.034093328,0.038963803,0.046269517,0.051139992,0.058445705,0.065751418,0.073057131,0.082798082,0.092539033,0.102279984,0.112020935,0.126632361,0.141243787,0.153419976,0.168031402,0.180207591,0.192383779,0.199689493,0.209430443,0.214300919
Angola,1.050439359,1.238017816,1.500627656,1.800753188,2.100878719,2.476035633,2.851192547,3.263865152,3.714053449,4.126726055,4.501882969,5.252196797,5.627353711,6.002510625,6.752824453,7.127981367,7.503138281,8.25345211,8.628609024,9.003765938,9.754079766,10.12923668,10.50439359,10.87955051,11.25470742,12.00502125
Argentina,0.587276983,0.700214864,0.790565169,0.880915474,0.97126578,1.061616085,1.15196639,1.242316695,1.310079424,1.400429729,1.490780034,1.581130339,1.648893068,1.739243373,1.807006101,1.897356407,1.965119135,2.032881864,2.100644593,2.168407322,2.236170051,2.258757627,2.258757627,2.48463339,2.48463339,2.48463339
Armenia,0.03298512,0.03298512,0.03298512,0.03298512,0.03298512,0.03298512,0.065970241,0.164925602,0.164925602,0.329851204,0.329851204,0.428806565,0.560747047,0.659702408,0.758657769,0.82462801,0.890598251,0.923583372,0.956568492,0.956568492,0.989553612,0.989553612,1.022538733,1.055523853,1.088508974,1.187464335
Australia,0.568143496,0.568143496,0.568143496,0.568143496,0.568143496,0.568143496,0.568143496,0.568143496,0.608725174,0.608725174,0.608725174,0.649306853,0.649306853,0.649306853,0.689888531,0.730470209,0.771051888,0.771051888,0.811633566,0.852215244,0.852215244,0.892796923,0.933378601,1.014541957,1.055123636,1.095705314
Austria,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Azerbaijan,0.010026372,0.010026372,0.020052745,0.020052745,0.020052745,0.050131862,0.050131862,0.100263724,0.100263724,0.110290096,0.150395586,0.180474703,0.220580192,0.260685682,0.300791171,0.350923033,0.411081267,0.471239501,0.531397735,0.601582342,0.681793321,0.751977928,0.832188906,0.912399885,0.992610864,1.10290096
Bahamas,5.791058606,6.798199233,7.80533986,8.812480487,9.819621114,10.57497658,11.33033205,11.83390237,12.58925784,12.84104299,13.34461331,13.84818362,14.09996878,14.60353909,15.10710941,15.61067972,16.36603519,16.8696055,17.37317582,17.87674613,18.6321016,19.13567191,19.63924223,19.89102738,19.89102738,20.3945977
