Country x Year,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Afghanistan,100,200,200,200,200,500,500,500,500,500,500,500,500,500,500,500,500,1000,1000,1000,1000,1000,1000,1000,1000,1000
Albania,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Algeria,200,200,200,200,200,500,500,500,500,500,500,500,500,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,500,500
Angola,6200,7400,8800,10000,12000,13000,15000,17000,18000,19000,21000,22000,23000,24000,25000,26000,27000,27000,28000,29000,28000,29000,29000,28000,27000,26000
Argentina,5500,5600,5600,5700,5700,5700,5700,5700,5700,5700,5600,5600,5600,5500,5500,5500,5400,5400,5300,5300,5300,5200,5200,5100,5100,5100
Armenia,100,100,100,100,100,100,100,200,200,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500
Australia,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1100,1100,1100,1100,1100,1100,1200,1200,1200,1200,1200
Austria,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Azerbaijan,100,100,100,100,100,100,200,200,500,500,500,500,500,500,1000,1000,1000,1000,1000,1000,1000,1000,1100,1100,1200,1200
Bahamas,500,1000,1000,1000,1000,1000,1000,1000,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500
Bangladesh,100,100,100,100,100,100,100,200,200,500,500,1000,1000,1000,1000,1100,1200,1300,1300,1300,1400,1300,1200,1200,1100,1100
Barbados,100,100,100,100,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200
Belarus,100,100,100,200,200,500,1000,1000,1100,1400,1700,1900,2100,2300,2400,2400,2400,2200,2200,2400,2600,2900,3400,4000,4600,5300
Belgium,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Belize,100,100,100,100,100,100,200,200,500,500,500,1000,1000,500,500,500,200,200,200,200,200,200,200,200,200,200
Benin,2200,3200,4400,5400,6300,7100,7500,7700,7700,7500,7200,6800,6300,5900,5500,5200,4900,4500,4600,4700,4400,4300,4200,4300,4100,4200
Bhutan,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Bolivia (Plurinational State of),1400,1500,1600,1700,1700,1600,1500,1400,1300,1100,1100,1000,1000,1100,1100,1200,1400,1400,1500,1600,1500,1500,1400,1400,1400,1300
Bosnia and Herzegovina,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Botswana,15000,20000,26000,30000,33000,34000,34000,32000,29000,27000,24000,22000,20000,19000,17000,15000,14000,14000,13000,13000,12000,12000,12000,11000,10000,9700
Brazil,37000,32000,30000,31000,32000,33000,35000,36000,37000,38000,39000,40000,41000,41000,42000,42000,42000,42000,42000,43000,43000,43000,43000,44000,44000,44000
Brunei Darussalam,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Bulgaria,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Burkina Faso,27000,26000,24000,22000,20000,17000,15000,12000,11000,8800,7600,6700,6300,5900,5500,5300,5300,4900,4800,5100,5000,5000,4800,4800,4700,4200
Burundi,7800,9400,12000,14000,15000,17000,16000,16000,16000,14000,13000,10000,9000,7500,6400,5600,4900,4100,3800,3500,3100,2800,2500,2200,1900,1200
Cambodia,1100,3100,8400,16000,22000,24000,22000,18000,14000,12000,10000,8200,7000,6200,5400,4400,3700,3100,2600,2000,1700,1300,1100,1000,1000,1000
Cameroon,33000,39000,45000,49000,53000,55000,56000,56000,56000,55000,54000,53000,51000,50000,49000,48000,47000,47000,46000,46000,45000,46000,46000,46000,45000,44000
Canada,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
