Country x Year,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Afghanistan,0.002926615,0.00585323,0.00585323,0.00585323,0.00585323,0.014633075,0.014633075,0.014633075,0.014633075,0.014633075,0.014633075,0.014633075,0.014633075,0.014633075,0.014633075,0.014633075,0.014633075,0.029266149,0.029266149,0.029266149,0.029266149,0.029266149,0.029266149,0.029266149,0.029266149,0.029266149
Albania,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Algeria,0.004870475,0.004870475,0.004870475,0.004870475,0.004870475,0.012176189,0.012176189,0.012176189,0.012176189,0.012176189,0.012176189,0.012176189,0.012176189,0.024352377,0.024352377,0.024352377,0.024352377,0.024352377,0.024352377,0.024352377,0.024352377,0.024352377,0.024352377,0.024352377,0.012176189,0.012176189
Angola,0.232597287,0.277616116,0.330138084,0.375156914,0.450188297,0.487703988,0.562735371,0.637766754,0.675282445,0.712798137,0.78782952,0.825345211,0.862860902,0.900376594,0.937892285,0.975407977,1.012923668,1.012923668,1.050439359,1.087955051,1.050439359,1.087955051,1.087955051,1.050439359,1.012923668,0.975407977
Argentina,0.124231669,0.126490427,0.126490427,0.128749185,0.128749185,0.128749185,0.128749185,0.128749185,0.128749185,0.128749185,0.126490427,0.126490427,0.126490427,0.124231669,0.124231669,0.124231669,0.121972912,0.121972912,0.119714154,0.119714154,0.119714154,0.117455397,0.117455397,0.115196639,0.115196639,0.115196639
Armenia,0.03298512,0.03298512,0.03298512,0.03298512,0.03298512,0.03298512,0.03298512,0.065970241,0.065970241,0.164925602,0.164925602,0.164925602,0.164925602,0.164925602,0.164925602,0.164925602,0.164925602,0.164925602,0.164925602,0.164925602,0.164925602,0.164925602,0.164925602,0.164925602,0.164925602,0.164925602
Australia,0.040581678,0.040581678,0.040581678,0.040581678,0.040581678,0.040581678,0.040581678,0.040581678,0.040581678,0.040581678,0.040581678,0.040581678,0.040581678,0.040581678,0.040581678,0.044639846,0.044639846,0.044639846,0.044639846,0.044639846,0.044639846,0.048698014,0.048698014,0.048698014,0.048698014,0.048698014
Austria,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Azerbaijan,0.010026372,0.010026372,0.010026372,0.010026372,0.010026372,0.010026372,0.020052745,0.020052745,0.050131862,0.050131862,0.050131862,0.050131862,0.050131862,0.050131862,0.100263724,0.100263724,0.100263724,0.100263724,0.100263724,0.100263724,0.100263724,0.100263724,0.110290096,0.110290096,0.120316468,0.120316468
Bahamas,1.258925784,2.517851568,2.517851568,2.517851568,2.517851568,2.517851568,2.517851568,2.517851568,1.258925784,1.258925784,1.258925784,1.258925784,1.258925784,1.258925784,1.258925784,1.258925784,1.258925784,1.258925784,1.258925784,1.258925784,1.258925784,1.258925784,1.258925784,1.258925784,1.258925784,1.258925784
