Country x Year,2010,2011,2012,2013,2014,2015,2016
Afghanistan,60,114,161,214,281,364,455
Albania,NaN,NaN,NaN,NaN,NaN,423,NaN
Algeria,2221,2680,3396,4642,6020,7915,8652
Angola,31480,37936,45338,61064,77399,90204,90569
Argentina,46015,50480,55309,60278,65119,70530,NaN
Armenia,250,320,449,579,740,941,1067
Australia,10740.7,11777,13013,16150,17499,24169,18710
Austria,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Azerbaijan,596,956,1328,1812,2438,3033,NaN
Bahamas,1362,1349,1658,1990,2361,2992,NaN
Bangladesh,454,664,831,1083,1287,1483,1666
Barbados,873,929,1014,1077,1105,1139,1221
Belarus,2615,3223,4274,5181,5918,7392,7903
Belgium,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Belize,957,1104,1226,1376,1498,1639,NaN
Benin,20110,25535,27889,24811,28850,33602,36158
Bhutan,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Bolivia (Plurinational State of),1261,1266,2346,2965,3803,5274,NaN
Bosnia and Herzegovina,NaN,NaN,NaN,NaN,NaN,126,150
Botswana,159350,177776,205036,223506,244063,272972,282675
Brazil,239159,265213,297138,307020,394349,457886,497980
Brunei Darussalam,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Bulgaria,NaN,NaN,NaN,NaN,NaN,824,891
Burkina Faso,31543,36248,38652,42126,46623,52304,55336
Burundi,22735,26402,29121,32801,36888,42169,49241
Cambodia,42799,46473,48913,50659,52904,54929,54147
Cameroon,89455,105653,122783,131594,145038,168249,NaN
Canada,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Cape Verde,624,732,864,996,1211,1355,NaN
Central African Republic,15287,14405,16632,16568,24142,28303,NaN
Chad,31919,32832,36526,39926,48765,59622,33107
Chile,14356,15617,19071,22706,25106,28082,NaN
China,NaN,NaN,NaN,NaN,NaN,386756,426624
Colombia,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Congo,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Costa Rica,3409,3692,3955,4314,4672,5623,NaN
Croatia,NaN,NaN,NaN,NaN,NaN,924,967
Cuba,6302,6748,8098,9687,12018,15083,NaN
Cyprus,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Czech Republic,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Cote d'Ivoire,80998,98464,109926,122981,127330,161173,NaN
Democratic People's Republic of Korea,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Democratic Republic of the Congo,43790,53393,66305,79560,101324,122268,NaN
Denmark,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Djibouti,967,1042,1287,1381,1593,1945,NaN
Dominican Republic,17082,19627,22221,24000,27001,31321,NaN
Ecuador,7168,9256,9630,10739,13300,15642,NaN
Egypt,525,760,996,1171,1715,2147,2562
