Country x Year,2010,2011,2012,2013,2014,2015,2016
Afghanistan,0.001755969,0.003336341,0.00471185,0.006262956,0.008223788,0.010652878,0.013316098
Albania,NaN,NaN,NaN,NaN,NaN,0.145289528,NaN
Algeria,0.05408663,0.065264371,0.082700673,0.113043735,0.14660131,0.192749065,0.210696767
Angola,1.180993965,1.423195269,1.700886417,2.29085818,2.903676999,3.384065428,3.397758655
Argentina,1.039367322,1.14022085,1.249296256,1.361533922,1.470880379,1.593101754,NaN
Armenia,0.082462801,0.105552385,0.148103191,0.190983847,0.244089891,0.310389983,0.351951235
Australia,0.435875632,0.477930425,0.52808938,0.655394105,0.710138789,0.980818583,0.759283201
Austria,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Azerbaijan,0.059757179,0.09585212,0.133150225,0.181677867,0.244442958,0.304099874,NaN
Bahamas,3.429313835,3.396581765,4.174597899,5.01052462,5.944647551,7.53341189,NaN
Bangladesh,0.002754391,0.004028449,0.005041628,0.006570497,0.007808153,0.008997273,0.010107523
Barbados,3.055182261,3.251161879,3.548630942,3.769108013,3.867097822,3.986085447,4.273055602
Belarus,0.276469876,0.340750444,0.451867017,0.547759246,0.62567829,0.781516376,0.835541656
Belgium,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Belize,2.554377274,2.946742435,3.272378827,3.672751441,3.998387833,4.37473809,NaN
Benin,1.755012017,2.228455089,2.433890111,2.165271166,2.51775717,2.93246712,3.155530806
Bhutan,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Bolivia (Plurinational State of),0.114088077,0.114540449,0.212252679,0.268256264,0.344073717,0.477161395,NaN
Bosnia and Herzegovina,NaN,NaN,NaN,NaN,NaN,0.033221199,0.039549046
Botswana,67.98263297,75.84361819,87.47340529,95.35316199,104.1232843,116.4565754,120.596114
Brazil,1.132149945,1.255486448,1.406615559,1.453395759,1.866800743,2.16757726,2.357377434
Brunei Darussalam,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Bulgaria,NaN,NaN,NaN,NaN,NaN,0.116958085,0.126468026
Burkina Faso,1.645150486,1.890543538,2.015926087,2.197115346,2.431659991,2.727957106,2.8860935
Burundi,1.904665202,2.211874672,2.43966375,2.747962318,3.090358038,3.532783238,4.12525266
Cambodia,2.662230342,2.89076452,3.042540076,3.151146683,3.290792635,3.416753907,3.368111085
Cameroon,3.649185563,4.309959223,5.008752457,5.368184283,5.916612551,6.863471263,NaN
Canada,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Cape Verde,1.16970465,1.372153531,1.619591053,1.867028575,2.270051812,2.539983654,NaN
Central African Republic,2.998141141,2.825160145,3.261927353,3.249375444,4.734815426,5.550885635,NaN
Chad,2.132841428,2.193848484,2.440683167,2.667872642,3.258498457,3.983967907,2.212224103
Chile,0.7839028,0.852759127,1.041363213,1.239850722,1.370901622,1.533404738,NaN
China,NaN,NaN,NaN,NaN,NaN,0.278595946,0.307314474
Colombia,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Congo,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Costa Rica,0.694916408,0.752605274,0.806217188,0.87939847,0.952375905,1.146234956,NaN
Croatia,NaN,NaN,NaN,NaN,NaN,0.21948708,0.229701305
Cuba,0.553283424,0.592439947,0.710963054,0.850469141,1.055119039,1.32421039,NaN
Cyprus,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Czech Republic,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Cote d'Ivoire,3.40100721,4.134383243,4.615658641,5.163822165,5.346431369,6.767457654,NaN
Democratic People's Republic of Korea,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Democratic Republic of the Congo,0.53244857,0.649212754,0.806211519,0.967380868,1.232012306,1.486673252,NaN
Denmark,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Djibouti,1.061026002,1.143318608,1.412141122,1.515281188,1.747894955,2.134121587,NaN
Dominican Republic,1.586578596,1.822958559,2.063889649,2.229123423,2.507856731,2.909098947,NaN
Ecuador,0.431137771,0.556725894,0.579221084,0.645924738,0.79996266,0.940828266,NaN
Egypt,0.005513831,0.007981927,0.010460525,0.012298469,0.018011849,0.022548944,0.026907496
El Salvador,1.375352331,1.44150934,1.503288311,1.644196255,1.710515413,1.751701395,1.799697656
Equatorial Guinea,3.251109044,5.241127647,7.459215799,8.665524828,10.97864196,9.512959717,NaN
Eritrea,0.857183615,1.013151265,1.159450746,1.29243369,1.434172713,1.537968728,1.577006246
Estonia,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Ethiopia,NaN,NaN,NaN,NaN,NaN,3.700449148,NaN
Fiji,NaN,NaN,NaN,NaN,NaN,0.286965665,0.350120271
Finland,NaN,NaN,NaN,NaN,NaN,NaN,NaN
France,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Gabon,6.114148538,7.047398669,8.330964584,11.07852847,12.0800652,15.01028185,16.04568429
Gambia,0.957358408,1.471879601,1.811906898,1.885005692,2.162781112,2.368400947,2.532519532
Georgia,0.208934755,0.282439512,0.422652354,0.526616274,0.639642425,0.766261921,0.849080637
Germany,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Ghana,1.415898112,2.059097965,2.438171315,2.643777518,2.921199329,3.281847684,3.205984159
Greece,NaN,NaN,NaN,NaN,NaN,NaN,0.766735785
Guatemala,0.708770817,0.798859334,0.890065136,0.964276434,0.992384992,0.959395659,0.853488728
Guinea,1.496013102,1.734150278,2.083041932,2.091092699,2.410715676,2.522448285,2.922654174
Guinea-Bissau,NaN,NaN,NaN,NaN,NaN,NaN,5.399222193
Guyana,3.950119253,4.431778122,4.799801655,5.234973341,5.546179206,5.87675473,6.186669284
Haiti,2.658041673,3.223355804,3.975408426,4.894260127,5.84661732,6.268531587,6.798064038
