Country x Year,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Afghanistan,100,100,100,200,200,500,500,500,1000,1000,1000,1000,1100,1300,1500,1700,1900,2100,2400,2600,2800,3100,3300,3500,3700,4000
Albania,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Algeria,500,500,500,500,500,500,500,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
Angola,5900,7000,8300,9800,12000,14000,16000,20000,23000,27000,32000,38000,44000,51000,59000,67000,76000,84000,90000,97000,100000,110000,120000,120000,130000,130000
Argentina,1000,1200,1900,2900,4200,5700,6700,7200,7900,8600,9200,9800,10000,11000,12000,12000,13000,13000,14000,14000,15000,15000,16000,17000,18000,18000
Armenia,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Australia,2400,2900,3400,4000,4500,5000,5500,5700,5900,6000,6000,5900,5900,5800,5700,5200,5000,4900,4900,4800,4400,4100,3800,3500,3100,2800
Austria,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Azerbaijan,100,100,100,100,100,100,100,100,100,100,100,200,200,500,500,500,1000,1000,1000,1000,1000,1100,1200,1400,1500,1600
Bahamas,200,500,500,500,1000,1000,1000,1000,1200,1400,1600,1800,2000,2200,2300,2400,2400,2500,2500,2500,2500,2400,2300,2300,2300,2300
Bangladesh,100,100,100,100,100,100,100,100,100,200,200,500,500,500,1000,1000,1200,1500,1900,2400,2800,3300,3800,4300,4700,5100
Barbados,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Belarus,100,100,100,100,100,100,100,100,100,100,200,200,500,500,1000,1000,1000,1000,1000,1200,1400,1600,1800,2000,2200,2400
Belgium,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
