Country x Year,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Afghanistan,0.002926615,0.002926615,0.002926615,0.00585323,0.00585323,0.014633075,0.014633075,0.014633075,0.029266149,0.029266149,0.029266149,0.029266149,0.032192764,0.038045994,0.043899224,0.049752454,0.055605684,0.061458913,0.070238758,0.076091988,0.081945218,0.090725063,0.096578293,0.102431522,0.108284752,0.117064597
Albania,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Algeria,0.012176189,0.012176189,0.012176189,0.012176189,0.012176189,0.012176189,0.012176189,0.024352377,0.024352377,0.024352377,0.024352377,0.024352377,0.024352377,0.024352377,0.024352377,0.024352377,0.024352377,0.024352377,0.024352377,0.024352377,0.024352377,0.024352377,0.024352377,0.024352377,0.024352377,0.024352377
Angola,0.221342579,0.26260984,0.311380239,0.367653776,0.450188297,0.52521968,0.600251063,0.750313828,0.862860902,1.012923668,1.200502125,1.425596273,1.650690422,1.913300262,2.213425793,2.513551324,2.851192547,3.151318078,3.376412227,3.639022066,3.751569141,4.126726055,4.501882969,4.501882969,4.877039883,4.877039883
Argentina,0.022587576,0.027105092,0.042916395,0.065503971,0.09486782,0.128749185,0.151336761,0.162630549,0.178441853,0.194253156,0.207805702,0.221358247,0.225875763,0.248463339,0.271050915,0.271050915,0.293638491,0.293638491,0.316226068,0.316226068,0.338813644,0.338813644,0.36140122,0.383988797,0.406576373,0.406576373
Armenia,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Australia,0.097396028,0.117686867,0.137977706,0.162326713,0.182617552,0.202908391,0.223199231,0.231315566,0.239431902,0.24349007,0.24349007,0.239431902,0.239431902,0.235373734,0.231315566,0.211024727,0.202908391,0.198850224,0.198850224,0.194792056,0.178559385,0.166384881,0.154210378,0.142035874,0.125803203,0.113628699
Austria,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Azerbaijan,0.010026372,0.010026372,0.010026372,0.010026372,0.010026372,0.010026372,0.010026372,0.010026372,0.010026372,0.010026372,0.010026372,0.020052745,0.020052745,0.050131862,0.050131862,0.050131862,0.100263724,0.100263724,0.100263724,0.100263724,0.100263724,0.110290096,0.120316468,0.140369213,0.150395586,0.160421958
Bahamas,0.503570314,1.258925784,1.258925784,1.258925784,2.517851568,2.517851568,2.517851568,2.517851568,3.021421881,3.524992195,4.028562508,4.532132822,5.035703135,5.539273449,5.791058606,6.042843762,6.042843762,6.294628919,6.294628919,6.294628919,6.294628919,6.042843762,5.791058606,5.791058606,5.791058606,5.791058606
Bangladesh,0.000606694,0.000606694,0.000606694,0.000606694,0.000606694,0.000606694,0.000606694,0.000606694,0.000606694,0.001213388,0.001213388,0.00303347,0.00303347,0.00303347,0.006066941,0.006066941,0.007280329,0.009100411,0.011527187,0.014560658,0.016987434,0.020020904,0.023054375,0.026087845,0.028514622,0.030941398
Barbados,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Belarus,0.010572462,0.010572462,0.010572462,0.010572462,0.010572462,0.010572462,0.010572462,0.010572462,0.010572462,0.010572462,0.021144924,0.021144924,0.052862309,0.052862309,0.105724618,0.105724618,0.105724618,0.105724618,0.105724618,0.126869542,0.148014465,0.169159389,0.190304312,0.211449236,0.23259416,0.253739083
Belgium,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Belize,0.266915076,0.266915076,0.266915076,0.266915076,0.266915076,0.266915076,0.266915076,0.266915076,0.266915076,0.266915076,0.266915076,0.533830151,0.533830151,1.334575378,1.334575378,1.334575378,1.334575378,1.334575378,2.669150756,2.669150756,2.669150756,2.669150756,2.669150756,2.669150756,2.669150756,2.669150756
Benin,0.017454122,0.043635306,0.043635306,0.087270612,0.113451796,0.183268286,0.27926596,0.401444817,0.55853192,0.759254328,0.959976737,1.221788575,1.570871024,1.832682862,2.181765312,2.530847762,2.879930211,3.229012661,3.490824499,3.578095111,3.490824499,3.403553886,3.316283274,3.229012661,3.229012661,3.141742049
Bhutan,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Bolivia (Plurinational State of),0.045237144,0.090474288,0.090474288,0.099521717,0.135711432,0.171901147,0.217138291,0.271422864,0.334754865,0.398086867,0.461418868,0.533798299,0.5971303,0.669509731,0.723794303,0.778078876,0.82331602,0.859505735,0.886648022,0.904742879,0.904742879,0.904742879,0.904742879,0.895695451,0.877600593,0.859505735
Bosnia and Herzegovina,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Botswana,0.68259939,1.15188647,1.919810783,3.029034792,4.692870804,6.825993897,9.385741608,13.22536317,17.06498474,21.75785555,26.87735097,31.99684639,37.11634181,41.382588,42.66246185,46.92870804,42.66246185,42.66246185,40.95596338,39.24946491,36.68971719,34.5565941,32.42347101,29.8637233,27.73060021,25.59747711
Brazil,0.132548633,0.17988743,0.231960107,0.298234424,0.36450874,0.440250816,0.520726772,0.568065569,0.615404367,0.662743164,0.662743164,0.662743164,0.662743164,0.662743164,0.615404367,0.615404367,0.615404367,0.568065569,0.568065569,0.568065569,0.520726772,0.520726772,0.520726772,0.520726772,0.473387974,0.473387974
Brunei Darussalam,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Bulgaria,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Burkina Faso,0.990960252,1.356050871,1.773297293,2.29485532,2.816413348,3.44228298,4.068152613,4.641866443,5.215580273,5.737138301,6.258696328,6.780254356,7.301812383,7.301812383,7.82337041,7.82337041,7.301812383,7.301812383,6.780254356,6.258696328,5.737138301,5.215580273,4.95480126,4.485399035,4.068152613,3.703061994
Burundi,0.175931248,0.242952676,0.335107139,0.460772316,0.619948208,0.82939017,1.089098202,1.424205342,1.843089266,2.26197319,2.764633898,3.351071392,3.937508886,4.607723164,5.194160658,5.696821366,6.031928506,6.367035645,6.618365999,6.785919569,6.785919569,6.785919569,6.618365999,6.367035645,6.11570529,5.780598151
Cambodia,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Cameroon,0.391617924,0.571109473,0.775077142,1.101425412,1.468567216,1.958089621,2.529199094,3.222689168,3.997766309,4.895224052,5.711094728,6.526965403,7.750771416,8.566642091,9.790448104,10.19838344,11.01425412,11.42218946,11.83012479,11.83012479,11.83012479,11.83012479,12.23806013,12.23806013,12.64599547,12.64599547
Canada,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Cape Verde,0.374905336,0.937263341,0.937263341,0.937263341,0.937263341,1.874526682,1.874526682,1.874526682,1.874526682,2.06197935,2.436884687,2.624337355,2.999242691,3.186695359,3.561600696,3.749053364,3.936506032,3.936506032,3.936506032,3.749053364,3.749053364,3.749053364,3.561600696,3.374148028,3.186695359,2.999242691
Central African Republic,0.882556102,1.235578543,1.706275131,2.353482939,3.137977252,3.922471565,5.099213035,6.275954504,7.452695974,8.825561021,10.39454965,11.7674147,13.14027974,14.51314479,15.68988626,16.86662773,17.65112204,18.23949278,18.43561636,18.43561636,18.0433692,17.65112204,17.45499846,17.06275131,16.67050415,16.08213342
Chad,0.267281735,0.360830343,0.481107124,0.628112078,0.801845206,1.002306508,1.269588243,1.536869979,1.870972148,2.205074317,2.60599692,3.006919523,3.541482994,4.009226031,4.476969068,5.078352973,5.546096009,5.947018613,6.347941216,6.481582083,6.41476165,6.481582083,6.615222951,6.682043385,6.682043385,6.682043385
