Country x Year,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Afghanistan,0.002926615,0.002926615,0.002926615,0.002926615,0.002926615,0.002926615,0.002926615,0.002926615,0.002926615,0.002926615,0.002926615,0.00585323,0.00585323,0.00585323,0.00585323,0.00585323,0.00585323,0.00585323,0.014633075,0.014633075,0.014633075,0.014633075,0.014633075,0.014633075,0.014633075,0.014633075
Albania,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Algeria,0.002435238,0.002435238,0.002435238,0.002435238,0.002435238,0.002435238,0.002435238,0.002435238,0.002435238,0.002435238,0.002435238,0.004870475,0.004870475,0.004870475,0.004870475,0.004870475,0.004870475,0.004870475,0.004870475,0.004870475,0.004870475,0.004870475,0.004870475,0.004870475,0.004870475,0.004870475
Angola,0.041267261,0.052521968,0.060025106,0.075031383,0.090037659,0.105043936,0.123801782,0.146311196,0.168820611,0.198833164,0.228845718,0.26260984,0.296373962,0.333889654,0.371405345,0.412672605,0.412672605,0.412672605,0.412672605,0.450188297,0.450188297,0.487703988,0.487703988,0.487703988,0.450188297,0.450188297
Argentina,0.011293788,0.022587576,0.022587576,0.029363849,0.036140122,0.040657637,0.029363849,0.029363849,0.033881364,0.031622607,0.031622607,0.033881364,0.036140122,0.03839888,0.040657637,0.040657637,0.042916395,0.045175153,0.045175153,0.045175153,0.049692668,0.058727698,0.060986456,0.058727698,0.056468941,0.051951425
Armenia,0.03298512,0.03298512,0.03298512,0.03298512,0.03298512,0.03298512,0.03298512,0.03298512,0.03298512,0.03298512,0.03298512,0.03298512,0.03298512,0.03298512,0.03298512,0.03298512,0.03298512,0.065970241,0.065970241,0.065970241,0.065970241,0.065970241,0.065970241,0.065970241,0.065970241,0.065970241
Australia,0.040581678,0.040581678,0.040581678,0.040581678,0.044639846,0.044639846,0.040581678,0.040581678,0.040581678,0.040581678,0.040581678,0.040581678,0.040581678,0.040581678,0.020290839,0.020290839,0.040581678,0.040581678,0.040581678,0.040581678,0.020290839,0.020290839,0.020290839,0.020290839,0.008116336,0.008116336
Austria,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Azerbaijan,0.010026372,0.010026372,0.010026372,0.010026372,0.010026372,0.010026372,0.010026372,0.010026372,0.010026372,0.010026372,0.010026372,0.010026372,0.010026372,0.010026372,0.020052745,0.020052745,0.020052745,0.020052745,0.050131862,0.050131862,0.050131862,0.050131862,0.050131862,0.050131862,0.050131862,0.050131862
Bahamas,0.251785157,0.251785157,0.251785157,0.503570314,0.503570314,0.503570314,1.258925784,1.258925784,1.258925784,1.258925784,1.258925784,1.258925784,1.258925784,1.258925784,1.258925784,1.258925784,1.258925784,1.258925784,1.258925784,1.258925784,1.258925784,1.258925784,1.258925784,1.258925784,1.258925784,1.258925784
Bangladesh,0.000606694,0.000606694,0.000606694,0.000606694,0.000606694,0.000606694,0.000606694,0.000606694,0.000606694,0.000606694,0.000606694,0.000606694,0.000606694,0.001213388,0.001213388,0.00303347,0.00303347,0.00303347,0.00303347,0.006066941,0.006066941,0.006066941,0.006066941,0.006066941,0.006066941,0.006066941
Barbados,0.349963604,0.349963604,0.349963604,0.349963604,0.349963604,0.349963604,0.349963604,0.349963604,0.349963604,0.349963604,0.349963604,0.349963604,0.349963604,0.349963604,0.349963604,0.349963604,0.349963604,0.349963604,0.349963604,0.349963604,0.349963604,0.349963604,0.349963604,0.349963604,0.349963604,0.349963604
