"name",12/13,13/14,14/15,15/16,16/17,17/18
"Dmitri Poloz",1,4,2,6,8,7
"Emiliano Rigoni",NaN,0,6,6,2,3
"Sebastián Driussi",NaN,0,4,1,3,4
"Aleksandr Kokorin",5,9,7,3,7,4
"Anton Zabolotnyi",0,1,NaN,3,5,2
"Quincy Promes",11,8,5,8,10,8
"Pedro Rocha",NaN,NaN,3,1,6,2
"Lorenzo Melgarejo",5,2,0,3,0,5
"Zelimkhan Bakaev",NaN,NaN,NaN,1,2,0
"Luiz Adriano",9,4,11,4,1,7
"Zé Luís",1,5,5,5,7,7
"Ahmed Musa",7,4,11,6,0,3
"Fedor Chalov",NaN,NaN,NaN,1,5,2
"Timur Zhamaletdinov",NaN,NaN,0,2,2,0
"Wanderson",1,6,4,0,11,2
"Joãozinho",16,12,9,5,5,1
"Andrei Ivan",NaN,0,2,5,5,2
"Ricardo Laborde",9,3,6,6,3,0
"Magomed-Shapi Suleymanov",NaN,NaN,NaN,NaN,NaN,6
"Fedor Smolov",0,2,3,13,1,2
"Ivan Ignatjev",NaN,NaN,NaN,NaN,NaN,3
"Alan Kasaev",5,3,3,4,5,0
"Jefferson Farfán",10,9,0,1,0,6
"Arshak Koryan",NaN,0,3,2,10,0
"Éder",5,3,3,4,5,1
"Ari",8,3,9,7,8,1
"Gökdeniz Karadeniz",9,5,4,2,0,5
"Rifat Zhemaletdinov",NaN,NaN,NaN,1,0,1
"Sardar Azmoun",0,3,1,3,3,4
"Léo Jabá",NaN,NaN,NaN,0,0,0
"Bernard Berisha",2,0,1,11,2,1
"Magomed Mitrishev",0,0,2,2,2,3
"Odise Roshi",1,3,2,1,7,3
"Khalid Kadyrov",0,0,0,0,0,0
"Bekim Balaj",2,5,3,2,0,0
"Ablaye Mbengue",NaN,NaN,0,0,2,0
"Zaur Sadaev",0,2,7,0,0,0
"Apti Akh'yadov",NaN,0,0,0,2,0
"Fedor Chernykh",5,3,6,4,9,8
"Vyacheslav Grulev",NaN,NaN,NaN,NaN,0,0
"Anton Terekhov",NaN,NaN,NaN,0,0,1
"Evgeni Markov",NaN,NaN,0,4,2,1
"Evgeni Lutsenko",4,1,1,6,2,2
"Nikolay Obolskiy",NaN,NaN,0,0,2,0
"Evans Kangwa",NaN,NaN,0,2,1,0
"Artem Dzyuba",7,4,1,12,8,3
"Luka Djordjevic",0,3,0,1,2,0
"Federico Rasic",NaN,0,1,2,0,0
"Aslanbek Sikoev",NaN,0,NaN,NaN,NaN,0
"Igor Shevchenko",1,2,1,2,0,0
"Sly",3,3,8,1,3,2
"Dmitri Sysuev",7,2,3,1,3,2
"Kehinde Fatai",6,3,5,5,0,0
"Vyacheslav Krotov",0,0,0,3,3,1
"Yerkebulan Seydakhmet",NaN,NaN,NaN,NaN,1,0
"Aleksandr Zuev",NaN,NaN,1,6,3,3
"Aleksey Ionov",12,6,4,4,4,1
"Björn Sigurdarson",2,3,1,0,3,0
"Eldor Shomurodov",NaN,NaN,0,0,0,0
"Vladimir Dyadyun",2,0,1,0,NaN,2
"Nikolay Dimitrov",4,1,6,2,4,5
"Dmytro Khomchenovsky",2,5,2,2,2,0
"Nikita Glushkov",NaN,NaN,0,NaN,2,0
"Giorgi Chanturia",0,2,0,3,2,1
"Edgar Manucharyan",0,3,3,2,1,0
"Vladimir Iljin",NaN,0,0,5,1,1
"Igor Portnyagin",6,5,3,5,0,0
"Aaron Olanare",2,11,1,0,0,0
"Darko Bodul",8,2,0,0,4,6
"Aleksey Gasilin",0,0,2,1,4,0
"Pavel Yakovlev",4,3,2,1,1,0
"Ivan Markelov",NaN,3,4,7,1,6
"Arsen Khubulov",1,2,1,5,6,5
"Pylyp Budkivsky",0,1,0,3,2,0
"Juan Lescano",NaN,2,0,1,1,1
"Aleksandr Prudnikov",0,2,1,1,1,3
"Amur Kalmykov",NaN,NaN,NaN,NaN,NaN,0
"Pavel Dolgov",NaN,0,0,0,0,0
"Ricardinho",2,1,2,7,15,0
"Nikola Trujic",0,5,1,4,5,0
"Reziuan Mirzov",0,2,2,0,0,2
"Aleksandr Makarov",NaN,1,3,3,2,0
"Pavel Pogrebnyak",0,5,2,0,0,0
"Alejandro Barbaro",0,1,0,1,4,1
"Konstantin Savichev",0,NaN,NaN,5,10,1
"Vladislav Nikiforov",0,1,0,1,4,2
"Dmitri Kabutov",3,2,2,3,3,5
"Maksim Kazankov",NaN,NaN,NaN,3,1,2
"Maksim Kanunnikov",2,5,7,4,2,1
"Miroslav Markovic",2,1,0,0,0,0
"Lukasz Sekulski",0,2,1,3,4,3
"Aleksandr Maksimenko",NaN,NaN,NaN,NaN,NaN,0
"Ousmane Dembélé",NaN,NaN,NaN,5,21,5
"Lionel Messi",18,15,31,26,19,16
"Aleix Vidal",9,5,11,3,5,4
"Luis Suárez",13,24,24,26,20,10
"Paco Alcácer",1,3,6,8,4,3
"Cristiano Ronaldo",13,17,22,15,12,5
"Marco Asensio",NaN,1,8,15,4,5
"Gareth Bale",15,19,12,15,5,7
"Lucas Vázquez",3,9,7,10,14,13
"Karim Benzema",21,16,15,8,9,9
"Borja Mayoral",NaN,NaN,0,7,0,2
"Vitolo",6,8,12,15,10,0
"Ángel Correa",3,14,NaN,4,11,5
"Antoine Griezmann",5,5,6,7,12,12
"Diego Costa",13,4,5,11,8,4
"Kévin Gameiro",3,4,6,7,7,4
"Fernando Torres",11,6,1,5,7,2
"Gonçalo Guedes",0,1,15,10,8,9
"Andreas Pereira",0,1,4,3,3,5
"Ferrán Torres",NaN,NaN,NaN,NaN,0,2
"Simone Zaza",4,2,3,2,1,4
"Rodrigo",5,8,5,3,5,7
"Luciano Vietto",4,1,8,5,5,0
"Santi Mina",0,0,4,6,3,4
"Joaquín Correa",0,2,4,1,3,5
"Nolito",3,2,14,7,5,7
"Pablo Sarabia",1,6,7,6,13,9
"Jesús Navas",10,13,11,10,5,2
"Wissam Ben Yedder",6,5,5,5,6,3
"Luis Muriel",3,3,5,7,9,3
"Sandro Ramírez",NaN,2,2,2,5,2
"Roberto Soriano",2,1,5,3,8,0
"Denis Cheryshev",8,0,10,1,2,3
"Samu Castillejo",NaN,NaN,5,2,5,7
"Daniel Raba",NaN,NaN,NaN,0,0,1
"Salem Al-Dawsari",1,5,6,1,8,1
"Carlos Bacca",13,12,10,4,5,6
"Nicola Sansone",3,8,5,5,4,2
"Enes Ünal",NaN,1,2,2,4,4
"Roger Martínez",0,0,6,8,3,0
"Iker Muniain",3,4,4,1,5,4
"Iñigo Córdoba",NaN,NaN,1,1,0,1
"Sabin Merino",NaN,2,6,2,2,0
"Iñaki Williams",NaN,3,4,6,8,6
"Markel Susaeta",9,12,9,11,3,7
"Aritz Aduriz",6,9,5,10,4,2
"Kike Sola",2,2,0,0,0,0
"Mikel Oyarzabal",NaN,NaN,0,3,9,7
"Adnan Januzaj",5,8,4,4,3,4
"Juanmi",1,0,2,2,1,3
"David Concha",NaN,0,4,2,0,0
"Willian José",0,0,5,1,4,2
"Jon Bautista",NaN,1,4,0,2,1
"Imanol Agirretxe",6,2,1,0,NaN,0
"Pione Sisto",0,3,4,4,4,10
"Emre Mor",NaN,NaN,0,2,3,2
"Iago Aspas",7,1,2,5,8,5
"Maximiliano Gómez",NaN,NaN,0,4,8,3
"Lucas Boyé",NaN,0,1,3,2,1
"Cristian Tello",6,5,11,6,8,4
"Joel Campbell",3,11,1,6,4,1
"Joaquín",10,7,6,5,4,7
"Francis Guerrero",NaN,NaN,0,0,NaN,0
"Antonio Sanabria",NaN,0,0,1,2,0
"Sergio León",0,0,2,3,2,1
"Rubén Castro",8,2,13,2,7,0
"Loren Morón",NaN,NaN,0,0,NaN,0
"Pablo Piatti",4,5,8,8,12,3
"Gerard Moreno",2,7,5,3,4,2
"Leo Baptistão",7,4,1,2,7,3
"Sergio García",5,9,11,1,6,4
"Jairo Morillas",0,0,0,2,0,NaN
"Zakaria Bakkali",1,0,1,4,1,1
"Borja Valle",0,0,0,4,1,0
"Federico Cartabia",0,3,5,3,3,1
"Carles Gil",0,3,3,3,4,2
"Lucas Pérez",3,15,3,11,6,5
"Florin Andone",NaN,0,1,7,3,2
"Adrián López",5,5,4,4,1,3
"Isaac Success",NaN,0,4,5,1,1
"Maxime Lestienne",13,18,4,10,2,2
"Chory Castro",4,6,4,4,4,1
"Keko",0,1,6,5,3,2
"Samu García",NaN,2,3,5,1,1
"Diego Rolán",3,5,4,4,0,0
"Borja Bastón",0,0,5,4,0,0
"Brown Ideye",3,6,2,7,4,0
"Adalberto Peñaranda",NaN,0,NaN,5,0,0
"Youssef En-Nesyri",NaN,NaN,NaN,NaN,1,0
"Cristhian Stuani",4,5,0,1,0,0
"Anthony Lozano",0,0,1,3,3,4
"Michael Olunga",0,NaN,0,4,0,1
"Takashi Inui",8,2,9,7,4,1
"Pedro León",8,5,8,4,6,2
"Fabián Orellana",3,6,7,10,3,1
"Iván Alejo",NaN,0,1,0,2,3
"Rubén Peña",0,0,4,4,2,1
"Sergi Enrich",0,4,5,9,7,1
"Kike",5,5,4,1,3,0
"Charles",5,3,4,3,1,1
"Alfonso Pedraza",NaN,NaN,0,0,8,5
"Burgui",1,4,15,3,4,1
"Ibai Gómez",12,2,4,1,3,5
"Hernán Pérez",2,3,4,2,0,0
"Munir El Haddadi",NaN,6,5,7,3,6
"John Guidetti",1,2,10,1,7,2
"Christian Santos",7,0,10,2,1,0
"Rubén Sobrino",2,0,6,3,1,2
"Ermedin Demirovic",NaN,NaN,1,2,5,0
"Alexander Szymanowski",6,3,7,11,2,2
"José Naranjo",0,0,1,5,2,2
"Nordin Amrabat",10,6,7,1,3,2
"Nabil El Zhar",2,3,2,5,4,0
"Omar",7,1,6,7,3,1
"Claudio Beauvue",4,3,7,3,2,0
"Miguel Ángel Guerrero",4,0,1,1,1,0
"Amath Ndiaye",NaN,NaN,2,NaN,4,2
"Dani Pacheco",11,8,1,7,3,0
"Álvaro Jiménez",NaN,0,4,9,2,1
"Loïc Rémy",1,3,2,1,0,0
"Ángel Rodríguez",1,0,1,1,4,2
"Jorge Molina",4,3,8,1,8,3
"José Luis Morales",0,5,1,6,4,5
"Fahad Al-Muwallad",0,3,1,10,4,2
"Ivi",NaN,0,1,1,7,3
"Jason",NaN,0,0,1,1,1
"Roger Martí",1,2,3,2,5,0
"Emmanuel Boateng",NaN,NaN,2,3,9,1
"Alex Alegría",1,NaN,0,2,2,0
"Giampaolo Pazzini",2,2,0,2,3,0
"Armando Sadiku",5,3,1,4,5,4
"Jairo Samperio",2,7,5,8,2,0
"Hernán Toledo",NaN,NaN,0,4,0,2
"Nacho Gil",NaN,0,0,0,1,2
"Momo",7,3,7,3,0,1
"Jonathan Calleri",0,2,10,0,2,2
"Emmanuel Emenike",3,9,8,2,5,0
"Imoh Ezekiel",10,12,3,5,3,0
"Justin Kluivert",NaN,NaN,0,3,18,4
"Amin Younes",4,2,2,10,13,3
"Dennis Johnsen",NaN,NaN,NaN,0,3,2
"David Neres",NaN,NaN,NaN,0,4,12
"Vaclav Cerny",NaN,0,4,8,10,3
"Kasper Dolberg",NaN,NaN,0,1,8,2
"Mateo Cassierra",NaN,NaN,2,1,5,6
"Klaas-Jan Huntelaar",6,2,4,6,1,7
"Hirving Lozano",NaN,4,7,10,7,10
"Steven Bergwijn",NaN,0,4,4,3,8
"Gastón Pereiro",0,5,4,3,4,4
"Albert Gudmundsson",0,0,2,6,4,9
"Maximiliano Romero",NaN,NaN,0,0,1,1
"Luuk de Jong",4,1,14,12,9,9
"Sam Lammers",NaN,NaN,7,9,5,3
"Donyell Malen",NaN,NaN,0,2,7,2
"Sam Larsson",12,5,6,9,16,5
"Jean-Paul Boëtius",5,10,4,1,6,7
"Cheick Toure",NaN,NaN,NaN,NaN,0,4
"Steven Berghuis",2,11,6,2,7,13
"Bilal Basacikoglu",2,6,5,7,7,4
"Nicolai Jörgensen",8,5,2,7,17,3
"Robin van Persie",15,3,3,3,4,0
"Dylan Vente",NaN,NaN,NaN,NaN,1,2
"Oussama Idrissi",NaN,1,1,8,4,6
"Alireza Jahanbakhsh",0,5,18,7,10,13
"Calvin Stengs",NaN,NaN,NaN,0,11,0
"Wout Weghorst",0,0,9,0,5,6
"Ondřej Mihálik",NaN,NaN,0,0,1,0
"Myron Boadu",NaN,NaN,NaN,NaN,0,NaN
"Ferdy Druijf",NaN,NaN,0,1,2,0
"Patrick Joosten",NaN,0,0,3,2,0
"Gyrano Kerk",0,0,4,9,7,6
"Bilal Ould-Chikh",0,1,4,0,NaN,0
"Jean-Christophe Bahebeck",3,1,5,0,1,1
"Cyriel Dessers",NaN,0,1,1,13,5
"Simon Makienok",4,4,0,3,3,0
"Lukas Görtler",3,6,6,2,1,3
"Nick Venema",NaN,NaN,NaN,1,2,2
"Arber Zeneli",8,7,8,2,6,4
"Nemanja Mihajlovic",0,1,2,17,2,2
"Martin Ödegaard",NaN,6,1,7,3,2
"Marco Rojas",6,0,2,3,8,0
"Reza Ghoochannejhad",5,1,0,1,3,1
"Henk Veerman",0,1,8,7,0,3
"Bryan Linssen",3,0,10,6,1,5
"Lars ten Teije",NaN,NaN,0,5,5,0
"Roy Beerens",9,7,1,0,3,3
"Mitchell van Bergen",NaN,NaN,NaN,4,5,1
"Tim Matavz",11,3,1,1,3,2
"Luc Castaignos",6,5,0,3,0,1
"Mimoun Mahi",0,3,4,0,4,5
"Ajdin Hrustic",1,0,1,0,3,1
"Uriel Antuna",NaN,NaN,0,NaN,0,0
"Lars Veldwijk",6,12,0,9,3,2
"Tom van Weert",4,0,3,3,1,3
"Youness Mokhtar",5,10,7,0,3,6
"Queensy Menig",1,2,7,0,1,2
"Terell Ondaan",2,7,5,0,0,2
"Younes Namli",0,1,3,2,2,6
"Athanasios Karagounis",0,5,0,NaN,1,0
"Piotr Parzyszek",5,3,0,0,6,3
"Stef Nijland",0,1,6,3,0,3
"Oussama Assaidi",1,5,4,0,0,3
"Adnane Tighadouini",9,1,3,0,2,0
"Dylan George",NaN,NaN,NaN,0,1,0
"Luciano Slagveer",1,5,4,7,6,1
"Tom Boere",0,0,5,1,6,5
"Mounir El Hamdaoui",1,2,0,2,0,0
"Marko Kvasina",0,3,3,8,2,0
"Jari Oosterwijk",0,0,3,1,1,0
"Ricardo Kishna",0,2,13,3,0,1
"Édouard Duplan",2,0,6,14,7,0
"Melvyn Lorenzen",0,3,1,1,0,0
"Sheraldo Becker",0,2,6,5,3,6
"Elson Hooi",4,2,1,3,1,2
"Björn Johnsen",0,NaN,2,2,7,1
"Delano Ladan",NaN,NaN,NaN,0,0,2
"Kristoffer Peterson",0,4,2,7,4,4
"Zeki Erkilinc",NaN,NaN,NaN,0,2,0
"Brandley Kuwas",5,8,18,3,13,13
"Brahim Darri",0,5,4,7,4,5
"Jaroslav Navrátil",0,1,4,6,3,2
"Paul Gladon",0,2,4,6,0,1
"Vincent Vermeij",0,3,6,1,2,1
"Kai Huisman",0,0,0,0,2,0
"Mo El Hankouri",NaN,NaN,0,0,0,4
"Karim Coulibaly",0,1,1,1,0,0
"Kristófer Ingi Kristinsson",NaN,NaN,NaN,0,NaN,0
"Ismail Azzaoui",NaN,NaN,1,0,0,5
"Jordy Croux",2,1,10,9,11,0
"Asumah Abubakar",NaN,NaN,NaN,0,0,NaN
"Fran Sol",0,0,0,0,0,4
"Bartholomew Ogbeche",0,2,3,2,0,1
"Etien Velikonja",0,0,2,1,2,1
"Dabney dos Santos",NaN,1,11,13,8,0
"Craig Goodwin",3,2,2,1,6,0
"Soufyan Ahannach",0,0,2,9,15,3
"Loris Brogno",0,0,0,10,7,3
"Thomas Verhaar",NaN,NaN,14,17,2,2
"Ilias Alhaft",NaN,0,0,0,6,1
"Michiel Kramer",7,4,3,10,2,2
"Fred Friday",0,2,4,1,2,1
"Robert Mühren",5,1,6,3,1,5
"Nick Proschwitz",1,0,0,0,1,0
"Ragnar Ache",NaN,NaN,NaN,0,6,0
"Thomas Agyepong",NaN,NaN,NaN,1,5,0
"Diego Snepvangers",NaN,NaN,NaN,NaN,1,0
"Giovanni Korte",0,3,0,5,9,2
"Paolo Fernandes",NaN,NaN,0,0,7,0
"Umar Sadiq",NaN,NaN,0,8,1,3
"Thierry Ambrose",NaN,2,5,1,0,6
"Mitchell te Vrede",0,1,1,0,1,0
"Richelor Sprangers",NaN,NaN,NaN,0,1,0
"Levi García",NaN,NaN,NaN,1,8,4
"Stanley Elbers",0,1,4,2,0,3
"Jinty Caenepeel",NaN,0,0,7,8,0
"Mike van Duinen",6,2,2,2,4,4
"Zakaria El Azzouzi",0,0,3,0,3,1
"Gyliano van Velzen",2,1,3,9,11,3
"Mikhael Rosheuvel",3,7,2,1,5,7
"Mario Engels",3,3,7,0,0,3
"Célestin Djim",NaN,NaN,1,0,0,1
"Dani Schahin",2,0,1,5,0,4
"Jorn Vancamp",NaN,NaN,0,1,0,2
"Maecky Ngombo",NaN,NaN,NaN,0,0,1
"Torino Hunte",NaN,2,3,6,4,3
"Lugman Bezzat",NaN,NaN,0,0,1,0
"Vito van Crooij",0,0,1,8,3,4
"Romeo Castelen",0,10,1,1,4,1
"Lennart Thy",1,2,3,4,0,6
"Emil Riis",NaN,NaN,NaN,0,4,0
"Leroy Sané",2,15,3,7,8,15
"Raheem Sterling",6,12,10,10,21,10
"Bernardo Silva",NaN,7,4,3,12,11
"Sergio Agüero",5,14,9,5,6,7
"Gabriel Jesus",NaN,NaN,2,4,5,4
"Alexis Sánchez",13,17,12,11,19,6
"Anthony Martial",0,1,5,11,8,10
"Jesse Lingard",7,10,2,4,3,5
"Romelu Lukaku",7,8,7,7,7,8
"Marcus Rashford",NaN,NaN,0,2,6,8
"Zlatan Ibrahimovic",17,17,8,19,10,0
"Heung-Min Son",2,7,4,5,10,9
"Lucas",6,17,10,5,11,3
"Érik Lamela",6,4,10,10,7,5
"Harry Kane",6,7,6,2,7,4
"Fernando Llorente",3,6,4,5,1,1
"Eden Hazard",24,10,13,8,7,11
"Pedro",12,13,9,3,12,5
"Willian",15,10,5,10,5,10
"Álvaro Morata",8,2,7,12,6,5
"Olivier Giroud",12,12,4,6,7,3
"Sadio Mané",10,18,9,9,8,7
"Ben Woodburn",NaN,NaN,NaN,0,6,4
"Mohamed Salah",11,8,6,9,15,11
"Danny Ings",1,8,4,0,0,2
"Dominic Solanke",NaN,0,6,1,0,1
"Alex Iwobi",NaN,1,4,5,8,5
"Pierre-Emerick Aubameyang",15,5,11,12,5,4
"Alexandre Lacazette",10,8,8,4,5,4
"Danny Welbeck",5,6,6,2,4,1
"Yannick Bolasie",8,5,11,6,4,0
"Theo Walcott",16,7,1,7,2,6
"Cenk Tosun",9,6,0,6,4,3
"Dominic Calvert-Lewin",NaN,0,0,1,2,6
"Oumar Niasse",NaN,7,4,10,1,4
"Nathan Redmond",7,6,13,2,1,3
"Dusan Tadic",22,14,9,14,8,3
"Josh Sims",NaN,0,2,4,6,3
"Manolo Gabbiadini",2,4,3,3,0,0
