"name",12/13,13/14,14/15,15/16,16/17,17/18
"Dmitri Poloz",22.0,30.0,24.0,30.0,40.0,24.0
"Emiliano Rigoni",NaN,26.0,48.0,20.0,31.0,21.0
"Sebastián Driussi",NaN,7.0,37.0,15.0,35.0,31.0
"Aleksandr Kokorin",26.0,23.0,39.0,24.0,38.0,34.0
"Anton Zabolotnyi",5.0,26.0,NaN,29.0,34.0,24.0
"Quincy Promes",42.0,31.0,29.0,32.0,29.0,28.0
"Pedro Rocha",NaN,NaN,34.0,20.0,23.0,10.0
"Lorenzo Melgarejo",40.0,25.0,15.0,28.0,22.0,25.0
"Zelimkhan Bakaev",NaN,NaN,NaN,14.0,31.0,12.0
"Luiz Adriano",32.0,39.0,33.0,29.0,15.0,29.0
"Zé Luís",35.0,29.0,25.0,25.0,24.0,16.0
"Ahmed Musa",35.0,37.0,39.0,44.0,32.0,12.0
"Fedor Chalov",NaN,NaN,NaN,6.0,23.0,23.0
"Timur Zhamaletdinov",NaN,NaN,6.0,7.0,13.0,17.0
"Wanderson",6.0,29.0,32.0,26.0,28.0,23.0
"Joãozinho",31.0,34.0,29.0,23.0,33.0,19.0
"Andrei Ivan",NaN,8.0,19.0,34.0,39.0,8.0
"Ricardo Laborde",29.0,12.0,37.0,31.0,27.0,7.0
"Magomed-Shapi Suleymanov",NaN,NaN,NaN,NaN,NaN,10.0
"Fedor Smolov",26.0,29.0,26.0,44.0,31.0,17.0
"Ivan Ignatjev",NaN,NaN,NaN,NaN,NaN,11.0
"Alan Kasaev",31.0,20.0,31.0,31.0,19.0,2.0
"Jefferson Farfán",35.0,28.0,9.0,9.0,11.0,24.0
"Arshak Koryan",NaN,0.0,8.0,12.0,25.0,3.0
"Éder",31.0,16.0,38.0,29.0,37.0,19.0
"Ari",37.0,21.0,38.0,36.0,31.0,5.0
"Gökdeniz Karadeniz",42.0,31.0,24.0,28.0,12.0,16.0
"Rifat Zhemaletdinov",NaN,NaN,NaN,6.0,26.0,18.0
"Sardar Azmoun",0.0,17.0,27.0,24.0,41.0,22.0
"Léo Jabá",NaN,NaN,NaN,1.0,1.0,22.0
"Bernard Berisha",21.0,30.0,41.0,43.0,27.0,17.0
"Magomed Mitrishev",20.0,2.0,14.0,24.0,25.0,22.0
"Odise Roshi",32.0,25.0,22.0,25.0,21.0,14.0
"Khalid Kadyrov",0.0,2.0,5.0,5.0,0.0,2.0
"Bekim Balaj",19.0,37.0,31.0,37.0,27.0,8.0
"Ablaye Mbengue",NaN,NaN,5.0,22.0,23.0,11.0
"Zaur Sadaev",13.0,22.0,34.0,16.0,8.0,15.0
"Apti Akh'yadov",NaN,0.0,0.0,2.0,28.0,3.0
"Fedor Chernykh",35.0,14.0,33.0,35.0,36.0,28.0
"Vyacheslav Grulev",NaN,NaN,NaN,NaN,2.0,2.0
"Anton Terekhov",NaN,NaN,NaN,4.0,7.0,4.0
"Evgeni Markov",NaN,NaN,18.0,28.0,23.0,22.0
"Evgeni Lutsenko",32.0,28.0,25.0,27.0,32.0,15.0
"Nikolay Obolskiy",NaN,NaN,0.0,8.0,5.0,8.0
"Evans Kangwa",NaN,NaN,23.0,33.0,26.0,11.0
"Artem Dzyuba",32.0,31.0,26.0,44.0,34.0,26.0
"Luka Djordjevic",10.0,21.0,12.0,28.0,18.0,21.0
"Federico Rasic",NaN,12.0,21.0,9.0,15.0,15.0
"Aslanbek Sikoev",NaN,0.0,NaN,NaN,NaN,4.0
"Igor Shevchenko",32.0,31.0,26.0,14.0,20.0,16.0
"Sly",28.0,30.0,33.0,26.0,26.0,19.0
"Dmitri Sysuev",28.0,27.0,12.0,20.0,21.0,19.0
"Kehinde Fatai",37.0,19.0,32.0,46.0,25.0,16.0
"Vyacheslav Krotov",3.0,1.0,10.0,30.0,27.0,13.0
"Yerkebulan Seydakhmet",NaN,NaN,NaN,NaN,18.0,1.0
"Aleksandr Zuev",NaN,NaN,3.0,38.0,23.0,21.0
"Aleksey Ionov",32.0,24.0,44.0,32.0,29.0,20.0
"Björn Sigurdarson",41.0,39.0,17.0,29.0,30.0,2.0
"Eldor Shomurodov",NaN,NaN,4.0,7.0,20.0,15.0
"Vladimir Dyadyun",33.0,20.0,25.0,21.0,NaN,15.0
"Nikolay Dimitrov",21.0,26.0,42.0,26.0,26.0,17.0
"Dmytro Khomchenovsky",15.0,30.0,32.0,28.0,31.0,8.0
"Nikita Glushkov",NaN,NaN,18.0,NaN,28.0,7.0
"Giorgi Chanturia",16.0,23.0,26.0,24.0,14.0,15.0
"Edgar Manucharyan",11.0,23.0,19.0,23.0,15.0,6.0
"Vladimir Iljin",NaN,16.0,30.0,34.0,39.0,16.0
"Igor Portnyagin",27.0,32.0,28.0,31.0,7.0,7.0
"Aaron Olanare",27.0,33.0,18.0,10.0,7.0,14.0
"Darko Bodul",28.0,30.0,21.0,12.0,25.0,22.0
"Aleksey Gasilin",1.0,2.0,7.0,33.0,33.0,6.0
"Pavel Yakovlev",17.0,25.0,21.0,17.0,24.0,18.0
"Ivan Markelov",NaN,25.0,27.0,31.0,18.0,20.0
"Arsen Khubulov",14.0,20.0,17.0,27.0,29.0,18.0
"Pylyp Budkivsky",0.0,16.0,33.0,34.0,31.0,15.0
"Juan Lescano",NaN,28.0,24.0,27.0,34.0,11.0
"Aleksandr Prudnikov",7.0,28.0,24.0,32.0,15.0,12.0
"Amur Kalmykov",NaN,NaN,NaN,NaN,NaN,2.0
"Pavel Dolgov",NaN,6.0,7.0,29.0,29.0,5.0
"Ricardinho",28.0,39.0,29.0,28.0,30.0,11.0
"Nikola Trujic",28.0,26.0,30.0,28.0,41.0,15.0
"Reziuan Mirzov",1.0,9.0,27.0,5.0,8.0,18.0
"Aleksandr Makarov",NaN,6.0,5.0,18.0,18.0,4.0
"Pavel Pogrebnyak",32.0,41.0,33.0,19.0,9.0,4.0
"Alejandro Barbaro",1.0,21.0,2.0,18.0,27.0,4.0
"Konstantin Savichev",2.0,NaN,NaN,34.0,30.0,14.0
"Vladislav Nikiforov",16.0,24.0,28.0,39.0,35.0,18.0
"Dmitri Kabutov",31.0,20.0,24.0,30.0,34.0,26.0
"Maksim Kazankov",NaN,NaN,NaN,33.0,33.0,19.0
"Maksim Kanunnikov",25.0,24.0,28.0,40.0,23.0,17.0
"Miroslav Markovic",23.0,24.0,12.0,18.0,19.0,20.0
"Lukasz Sekulski",35.0,19.0,36.0,23.0,22.0,21.0
"Aleksandr Maksimenko",NaN,NaN,NaN,NaN,NaN,1.0
"Ousmane Dembélé",NaN,NaN,NaN,29.0,49.0,12.0
"Lionel Messi",50.0,46.0,57.0,49.0,52.0,41.0
"Aleix Vidal",45.0,42.0,47.0,14.0,12.0,22.0
"Luis Suárez",44.0,37.0,43.0,53.0,51.0,39.0
"Paco Alcácer",24.0,37.0,36.0,46.0,28.0,16.0
"Cristiano Ronaldo",55.0,47.0,54.0,48.0,46.0,34.0
"Marco Asensio",NaN,20.0,36.0,37.0,38.0,39.0
"Gareth Bale",44.0,44.0,48.0,31.0,27.0,28.0
"Lucas Vázquez",26.0,40.0,39.0,33.0,50.0,40.0
"Karim Benzema",50.0,52.0,46.0,36.0,48.0,33.0
"Borja Mayoral",NaN,NaN,12.0,46.0,21.0,20.0
"Vitolo",44.0,45.0,42.0,47.0,43.0,23.0
"Ángel Correa",12.0,44.0,NaN,36.0,47.0,41.0
"Antoine Griezmann",35.0,50.0,53.0,54.0,53.0,36.0
"Diego Costa",44.0,51.0,37.0,41.0,42.0,13.0
"Kévin Gameiro",32.0,49.0,44.0,52.0,46.0,27.0
"Fernando Torres",64.0,41.0,36.0,44.0,45.0,31.0
"Gonçalo Guedes",0.0,11.0,41.0,36.0,39.0,30.0
"Andreas Pereira",1.0,22.0,20.0,22.0,37.0,23.0
"Ferrán Torres",NaN,NaN,NaN,NaN,2.0,19.0
"Simone Zaza",36.0,35.0,34.0,24.0,31.0,31.0
"Rodrigo",39.0,42.0,32.0,38.0,21.0,34.0
"Luciano Vietto",33.0,36.0,48.0,28.0,31.0,21.0
"Santi Mina",1.0,32.0,24.0,36.0,31.0,32.0
"Joaquín Correa",8.0,32.0,22.0,25.0,34.0,32.0
"Nolito",32.0,37.0,37.0,29.0,30.0,31.0
"Pablo Sarabia",16.0,36.0,41.0,32.0,46.0,41.0
"Jesús Navas",44.0,48.0,47.0,52.0,36.0,37.0
"Wissam Ben Yedder",37.0,42.0,38.0,41.0,42.0,33.0
"Luis Muriel",23.0,31.0,27.0,35.0,33.0,35.0
"Sandro Ramírez",NaN,31.0,42.0,20.0,31.0,21.0
"Roberto Soriano",25.0,29.0,35.0,40.0,43.0,25.0
"Denis Cheryshev",35.0,5.0,40.0,14.0,18.0,25.0
"Samu Castillejo",NaN,NaN,39.0,45.0,44.0,29.0
"Daniel Raba",NaN,NaN,NaN,1.0,20.0,34.0
"Salem Al-Dawsari",16.0,24.0,29.0,24.0,35.0,14.0
"Carlos Bacca",44.0,52.0,56.0,43.0,34.0,34.0
