"name",12/13,13/14,14/15,15/16,16/17,17/18
"Dmitri Poloz",3,1,4,7,14,3
"Emiliano Rigoni",NaN,1,7,5,11,6
"Sebastián Driussi",NaN,1,4,1,21,3
"Aleksandr Kokorin",13,10,10,8,10,19
"Anton Zabolotnyi",1,3,NaN,5,16,4
"Quincy Promes",17,11,13,18,12,15
"Pedro Rocha",NaN,NaN,5,2,7,1
"Lorenzo Melgarejo",2,10,1,11,2,6
"Zelimkhan Bakaev",NaN,NaN,NaN,2,0,1
"Luiz Adriano",15,31,21,6,2,11
"Zé Luís",8,10,11,10,5,4
"Ahmed Musa",15,9,11,18,4,2
"Fedor Chalov",NaN,NaN,NaN,1,11,0
"Timur Zhamaletdinov",NaN,NaN,3,4,6,2
"Wanderson",0,2,2,2,5,3
"Joãozinho",4,7,11,2,6,2
"Andrei Ivan",NaN,1,1,7,10,0
"Ricardo Laborde",7,3,7,3,3,2
"Magomed-Shapi Suleymanov",NaN,NaN,NaN,NaN,NaN,2
"Fedor Smolov",1,2,8,24,25,12
"Ivan Ignatjev",NaN,NaN,NaN,NaN,NaN,13
"Alan Kasaev",3,3,4,3,2,0
"Jefferson Farfán",7,12,0,1,3,12
"Arshak Koryan",NaN,0,1,6,11,0
"Éder",16,4,14,6,7,3
"Ari",6,7,14,6,13,1
"Gökdeniz Karadeniz",7,6,7,7,0,2
"Rifat Zhemaletdinov",NaN,NaN,NaN,2,0,3
"Sardar Azmoun",0,5,6,9,12,1
"Léo Jabá",NaN,NaN,NaN,0,0,3
"Bernard Berisha",3,4,7,7,5,0
"Magomed Mitrishev",2,0,2,6,3,1
"Odise Roshi",2,1,3,2,1,0
"Khalid Kadyrov",0,0,0,1,0,0
"Bekim Balaj",4,9,13,10,9,0
"Ablaye Mbengue",NaN,NaN,4,3,7,2
"Zaur Sadaev",1,4,9,5,2,3
"Apti Akh'yadov",NaN,0,0,0,1,0
"Fedor Chernykh",4,3,12,4,13,4
"Vyacheslav Grulev",NaN,NaN,NaN,NaN,1,0
"Anton Terekhov",NaN,NaN,NaN,0,1,1
"Evgeni Markov",NaN,NaN,5,6,8,9
"Evgeni Lutsenko",9,4,3,10,7,3
"Nikolay Obolskiy",NaN,NaN,0,0,3,0
"Evans Kangwa",NaN,NaN,4,11,4,2
"Artem Dzyuba",4,19,8,23,14,3
"Luka Djordjevic",0,1,6,4,3,7
"Federico Rasic",NaN,3,3,0,6,0
"Aslanbek Sikoev",NaN,0,NaN,NaN,NaN,0
"Igor Shevchenko",4,8,1,4,2,1
"Sly",9,11,10,4,3,6
"Dmitri Sysuev",9,4,1,2,1,2
"Kehinde Fatai",16,5,14,14,6,0
"Vyacheslav Krotov",1,0,3,5,0,3
"Yerkebulan Seydakhmet",NaN,NaN,NaN,NaN,5,0
"Aleksandr Zuev",NaN,NaN,0,6,0,2
"Aleksey Ionov",2,5,13,4,3,2
"Björn Sigurdarson",6,5,2,4,17,0
"Eldor Shomurodov",NaN,NaN,0,2,2,0
"Vladimir Dyadyun",10,0,3,0,NaN,1
"Nikolay Dimitrov",7,2,12,2,1,2
"Dmytro Khomchenovsky",2,5,4,4,3,0
"Nikita Glushkov",NaN,NaN,0,NaN,1,0
"Giorgi Chanturia",2,5,6,4,4,3
"Edgar Manucharyan",6,3,3,6,2,0
"Vladimir Iljin",NaN,1,1,14,8,1
"Igor Portnyagin",18,7,12,5,1,1
"Aaron Olanare",7,15,7,3,0,1
"Darko Bodul",4,4,2,0,5,1
"Aleksey Gasilin",0,1,0,14,8,0
"Pavel Yakovlev",2,3,1,1,3,2
"Ivan Markelov",NaN,3,6,9,3,4
"Arsen Khubulov",2,2,0,2,8,1
"Pylyp Budkivsky",0,2,9,16,6,1
"Juan Lescano",NaN,7,4,8,8,4
"Aleksandr Prudnikov",1,6,4,3,3,1
"Amur Kalmykov",NaN,NaN,NaN,NaN,NaN,0
"Pavel Dolgov",NaN,2,2,3,4,0
"Ricardinho",7,10,20,9,15,1
"Nikola Trujic",4,5,3,9,9,2
"Reziuan Mirzov",0,3,1,0,0,1
"Aleksandr Makarov",NaN,0,1,4,4,0
"Pavel Pogrebnyak",8,13,7,1,0,1
"Alejandro Barbaro",0,0,0,2,5,0
"Konstantin Savichev",0,NaN,NaN,5,2,1
"Vladislav Nikiforov",0,4,0,2,4,0
"Dmitri Kabutov",2,3,1,1,2,4
"Maksim Kazankov",NaN,NaN,NaN,2,6,1
"Maksim Kanunnikov",3,3,5,7,7,2
"Miroslav Markovic",3,6,4,2,4,5
"Lukasz Sekulski",12,0,31,2,5,5
"Aleksandr Maksimenko",NaN,NaN,NaN,NaN,NaN,1
"Ousmane Dembélé",NaN,NaN,NaN,12,10,0
"Lionel Messi",60,41,58,41,54,32
"Aleix Vidal",7,7,6,0,2,2
"Luis Suárez",30,31,25,59,37,24
"Paco Alcácer",4,14,14,15,8,5
"Cristiano Ronaldo",55,51,61,51,42,33
"Marco Asensio",NaN,1,6,4,10,10
"Gareth Bale",26,22,17,19,9,11
"Lucas Vázquez",3,8,4,4,4,7
"Karim Benzema",21,24,22,28,19,8
"Borja Mayoral",NaN,NaN,9,23,2,5
"Vitolo",15,8,9,5,6,4
"Ángel Correa",4,8,NaN,8,8,7
"Antoine Griezmann",11,20,25,32,26,21
"Diego Costa",20,36,20,16,22,6
"Kévin Gameiro",9,21,17,29,16,9
"Fernando Torres",22,11,7,12,10,5
"Gonçalo Guedes",0,4,8,7,7,5
"Andreas Pereira",0,3,3,6,5,1
"Ferrán Torres",NaN,NaN,NaN,NaN,0,1
"Simone Zaza",18,9,12,8,6,11
"Rodrigo",11,18,4,7,7,15
"Luciano Vietto",13,5,20,3,10,4
"Santi Mina",0,4,9,8,6,14
"Joaquín Correa",0,3,2,3,8,7
"Nolito",4,14,13,12,6,4
"Pablo Sarabia",2,2,4,7,11,8
"Jesús Navas",1,6,1,1,0,2
"Wissam Ben Yedder",15,17,15,23,18,17
"Luis Muriel",11,8,4,7,13,8
"Sandro Ramírez",NaN,7,12,3,16,1
"Roberto Soriano",0,5,4,8,11,0
"Denis Cheryshev",11,0,7,4,0,3
"Samu Castillejo",NaN,NaN,1,2,3,2
"Daniel Raba",NaN,NaN,NaN,0,1,5
"Salem Al-Dawsari",4,5,4,4,5,4
"Carlos Bacca",28,21,28,20,14,12
"Nicola Sansone",6,7,8,7,9,5
"Enes Ünal",NaN,6,1,11,19,4
"Roger Martínez",0,1,6,19,8,0
"Iker Muniain",2,9,2,2,7,2
"Iñigo Córdoba",NaN,NaN,1,0,4,0
"Sabin Merino",NaN,3,18,7,1,0
"Iñaki Williams",NaN,8,16,13,8,7
"Markel Susaeta",11,7,3,5,1,2
"Aritz Aduriz",18,18,26,36,24,19
"Kike Sola",9,1,0,4,0,0
"Mikel Oyarzabal",NaN,NaN,0,9,4,9
"Adnan Januzaj",1,5,5,3,2,3
"Juanmi",1,5,8,0,15,7
"David Concha",NaN,1,5,5,0,1
"Willian José",5,4,10,10,14,17
"Jon Bautista",NaN,3,2,15,16,2
"Imanol Agirretxe",15,8,7,13,NaN,0
"Pione Sisto",0,9,8,8,12,4
"Emre Mor",NaN,NaN,0,2,1,1
"Iago Aspas",12,1,10,18,26,19
"Maximiliano Gómez",NaN,NaN,0,14,15,15
"Lucas Boyé",NaN,0,3,1,3,0
"Cristian Tello",8,5,8,4,4,6
"Joel Campbell",2,11,1,4,3,1
"Joaquín",8,5,2,1,3,4
"Francis Guerrero",NaN,NaN,0,1,NaN,0
"Antonio Sanabria",NaN,7,7,11,4,7
"Sergio León",5,12,9,23,10,12
"Rubén Castro",21,13,33,19,20,1
"Loren Morón",NaN,NaN,0,13,NaN,20
"Pablo Piatti",1,7,7,2,10,1
"Gerard Moreno",3,12,16,7,13,15
"Leo Baptistão",7,3,7,6,6,7
"Sergio García",7,12,15,8,13,2
"Jairo Morillas",0,9,18,7,2,
"Zakaria Bakkali",5,4,1,1,2,0
"Borja Valle",0,5,9,6,4,2
"Federico Cartabia",2,3,4,4,3,2
"Carles Gil",4,1,2,2,1,0
"Lucas Pérez",8,10,6,19,8,5
"Florin Andone",NaN,12,8,21,12,6
