"name",12/13,13/14,14/15,15/16,16/17,17/18
"Dmitri Poloz",1057.0,1258.0,1522.0,2132.0,2987.0,1194.0
"Emiliano Rigoni",NaN,1255.0,2832.0,1533.0,2427.0,1433.0
"Sebastián Driussi",NaN,296.0,2231.0,914.0,2517.0,1571.0
"Aleksandr Kokorin",2287.0,1777.0,2785.0,1424.0,2889.0,2911.0
"Anton Zabolotnyi",171.0,1305.0,NaN,1500.0,2562.0,2019.0
"Quincy Promes",3678.0,2730.0,2499.0,2806.0,2474.0,2427.0
"Pedro Rocha",NaN,NaN,1983.0,953.0,1753.0,449.0
"Lorenzo Melgarejo",3588.0,1782.0,990.0,1794.0,804.0,1092.0
"Zelimkhan Bakaev",NaN,NaN,NaN,597.0,1573.0,775.0
"Luiz Adriano",2455.0,3120.0,2681.0,1504.0,591.0,2513.0
"Zé Luís",1603.0,1577.0,1604.0,1768.0,1703.0,1022.0
"Ahmed Musa",3029.0,2878.0,3226.0,3858.0,1335.0,1075.0
"Fedor Chalov",NaN,NaN,NaN,419.0,1309.0,1033.0
"Timur Zhamaletdinov",NaN,NaN,465.0,531.0,809.0,585.0
"Wanderson",199.0,1924.0,1769.0,1175.0,1543.0,1236.0
"Joãozinho",2740.0,2964.0,2369.0,991.0,1809.0,898.0
"Andrei Ivan",NaN,324.0,518.0,2762.0,3382.0,145.0
"Ricardo Laborde",2275.0,438.0,1499.0,1290.0,877.0,214.0
"Magomed-Shapi Suleymanov",NaN,NaN,NaN,NaN,NaN,458.0
"Fedor Smolov",1023.0,1965.0,1854.0,3410.0,2691.0,1377.0
"Ivan Ignatjev",NaN,NaN,NaN,NaN,NaN,847.0
"Alan Kasaev",1564.0,1060.0,2016.0,2127.0,857.0,54.0
"Jefferson Farfán",2828.0,2259.0,564.0,696.0,677.0,1995.0
"Arshak Koryan",NaN,0.0,588.0,922.0,1808.0,30.0
"Éder",2413.0,1064.0,2268.0,1582.0,2842.0,1041.0
