"soccerplayers","age","current club","current league","foot","height","nationality","position",
"Dmitri Poloz",26,"Zenit St. Petersburg","Premier Liga","right",183.0,"Russia","W"	
"Emiliano Rigoni",25,"Zenit St. Petersburg","Premier Liga","both",180.0,"Argentina  Italy","W"	
"Sebastián Driussi",22,"Zenit St. Petersburg","Premier Liga","both",179.0,"Argentina  Italy","CF"	
"Aleksandr Kokorin",26,"Zenit St. Petersburg","Premier Liga","right",183.0,"Russia","CF"	
"Anton Zabolotnyi",26,"Zenit St. Petersburg","Premier Liga","right",188.0,"Russia","CF"	
"Quincy Promes",26,"Spartak Moscow","Premier Liga","both",174.0,"Netherlands  Suriname","W"	
"Pedro Rocha",23,"Spartak Moscow","Premier Liga","right",175.0,"Brazil","W"	
"Lorenzo Melgarejo",27,"Spartak Moscow","Premier Liga","left",178.0,"Paraguay","W"	
"Zelimkhan Bakaev",21,"Spartak 2 Moscow","Premier Liga","left",180.0,"Russia","W"	
"Luiz Adriano",30,"Spartak Moscow","Premier Liga","right",183.0,"Brazil","CF"	
"Zé Luís",27,"Spartak Moscow","Premier Liga","left",184.0,"Cape Verde","CF"	
"Ahmed Musa",25,"CSKA Moscow","Premier Liga","both",170.0,"Nigeria","CF"	
"Fedor Chalov",19,"CSKA Moscow","Premier Liga","right",180.0,"Russia","CF"	
"Timur Zhamaletdinov",20,"CSKA Moscow","Premier Liga","right",181.0,"Russia","CF"	
"Wanderson",23,"FK Krasnodar","Premier Liga","right",175.0,"Brazil  Belgium","W"	
"Joãozinho",29,"FK Krasnodar","Premier Liga","left",166.0,"Russia  Brazil","W"	
"Andrei Ivan",21,"FK Krasnodar","Premier Liga","right",185.0,"Romania","W"	
"Ricardo Laborde",30,"FK Krasnodar","Premier Liga","right",174.0,"Colombia","W"	
"Magomed-Shapi Suleymanov",18,"FK Krasnodar","Premier Liga","left",170.0,"Russia","W"	
"Fedor Smolov",28,"FK Krasnodar","Premier Liga","right",187.0,"Russia","CF"	
"Ivan Ignatjev",19,"FK Krasnodar","Premier Liga","right",180.0,"Russia","CF"	
"Alan Kasaev",31,"Lokomotiv Moscow","Premier Liga","right",174.0,"Russia","W"	
"Jefferson Farfán",33,"Lokomotiv Moscow","Premier Liga","right",178.0,"Peru","W"	
"Arshak Koryan",22,"Lokomotiv Moscow","Premier Liga","right",169.0,"Russia  Armenia","W"	
"Éder",30,"Lokomotiv Moscow","Premier Liga","both",190.0,"Portugal  Guinea-Bissau","CF"	
"Ari",32,"Lokomotiv Moscow","Premier Liga","both",180.0,"Brazil","CF"	
"Gökdeniz Karadeniz",38,"Rubin Kazan","Premier Liga","right",168.0,"Turkey","W"	
"Rifat Zhemaletdinov",21,"Rubin Kazan","Premier Liga","right",184.0,"Russia","W"	
"Sardar Azmoun",23,"Rubin Kazan","Premier Liga","both",186.0,"Iran","CF"	
"Léo Jabá",19,"Akhmat Grozny","Premier Liga","right",178.0,"Brazil","W"	
"Bernard Berisha",26,"Akhmat Grozny","Premier Liga","right",174.0,"Kosovo  Albania","W"	
"Magomed Mitrishev",25,"Akhmat Grozny","Premier Liga","right",178.0,"Russia","W"	
"Odise Roshi",26,"Akhmat Grozny","Premier Liga","right",187.0,"Albania","W"	
"Khalid Kadyrov",23,"Akhmat Grozny","Premier Liga","right",167.0,"Russia","W"	
"Bekim Balaj",27,"Akhmat Grozny","Premier Liga","right",188.0,"Albania","CF"	
"Ablaye Mbengue",25,"Akhmat Grozny","Premier Liga","right",187.0,"Senegal","CF"	
"Zaur Sadaev",28,"Akhmat Grozny","Premier Liga","right",182.0,"Russia","CF"	
"Apti Akh'yadov",24,"Akhmat Grozny","Premier Liga","right",173.0,"Russia","CF"	
"Fedor Chernykh",26,"Dinamo Moscow","Premier Liga","both",183.0,"Lithuania  Russia","W"	
"Vyacheslav Grulev",18,"Dinamo Moscow II","Premier Liga","right",188.0,"Russia","W"	
"Anton Terekhov",20,"Dinamo Moscow","Premier Liga","right",186.0,"Russia","W"	
"Evgeni Markov",23,"Dinamo Moscow","Premier Liga","right",187.0,"Russia","CF"	
"Evgeni Lutsenko",31,"Dinamo Moscow","Premier Liga","left",187.0,"Russia","CF"	
"Nikolay Obolskiy",21,"Dinamo Moscow","Premier Liga","left",186.0,"Russia","CF"	
"Evans Kangwa",25,"Arsenal Tula","Premier Liga","right",180.0,"Zambia","W"	
"Artem Dzyuba",29,"Arsenal Tula","Premier Liga","right",196.0,"Russia","CF"	
"Luka Djordjevic",23,"Arsenal Tula","Premier Liga","both",185.0,"Montenegro","CF"	
"Federico Rasic",25,"Arsenal Tula","Premier Liga","right",194.0,"Argentina  Croatia","CF"	
"Aslanbek Sikoev",23,"Arsenal Tula II","Premier Liga","right",191.0,"Russia","CF"	
"Igor Shevchenko",33,"Arsenal Tula","Premier Liga","right",180.0,"Russia","CF"	
"Sly",27,"FK Ufa","Premier Liga","right",173.0,"Nigeria","W"	
"Dmitri Sysuev",30,"FK Ufa","Premier Liga","right",176.0,"Russia","W"	
"Kehinde Fatai",28,"FK Ufa","Premier Liga","right",185.0,"Nigeria  Romania","CF"	
"Vyacheslav Krotov",25,"FK Ufa","Premier Liga","right",183.0,"Russia","CF"	
"Yerkebulan Seydakhmet",18,"FK Ufa","Premier Liga","right",178.0,"Kazakhstan","CF"	
"Aleksandr Zuev",21,"FK Rostov","Premier Liga","right",176.0,"Russia  Kazakhstan","W"	
"Aleksey Ionov",29,"FK Rostov","Premier Liga","right",177.0,"Russia","W"	
"Björn Sigurdarson",27,"FK Rostov","Premier Liga","right",187.0,"Iceland","CF"	
"Eldor Shomurodov",22,"FK Rostov","Premier Liga","right",185.0,"Uzbekistan","CF"	
"Vladimir Dyadyun",29,"FK Rostov","Premier Liga","right",183.0,"Russia","CF"	
"Nikolay Dimitrov",30,"Ural Yekaterinburg","Premier Liga","left",175.0,"Bulgaria","W"	
"Dmytro Khomchenovsky",27,"Ural Yekaterinburg","Premier Liga","both",182.0,"Ukraine","W"	
"Nikita Glushkov",23,"Ural Yekaterinburg","Premier Liga","right",175.0,"Russia","W"	
"Giorgi Chanturia",24,"Ural Yekaterinburg","Premier Liga","both",181.0,"Georgia","W"	
"Edgar Manucharyan",31,"Ural Yekaterinburg","Premier Liga","left",177.0,"Armenia","W"	
"Vladimir Iljin",25,"Ural Yekaterinburg","Premier Liga","right",187.0,"Russia","CF"	
"Igor Portnyagin",29,"Ural Yekaterinburg","Premier Liga","right",191.0,"Russia","CF"	
"Aaron Olanare",23,"Amkar Perm","Premier Liga","left",189.0,"Nigeria","CF"	
"Darko Bodul",29,"Amkar Perm","Premier Liga","right",186.0,"Austria  Croatia","CF"	
"Aleksey Gasilin",22,"Amkar Perm","Premier Liga","both",185.0,"Russia","CF"	
"Pavel Yakovlev",26,"Anzhi Makhachkala","Premier Liga","right",180.0,"Russia","W"	
"Ivan Markelov",29,"Anzhi Makhachkala","Premier Liga","left",185.0,"Russia","W"	
"Arsen Khubulov",27,"Anzhi Makhachkala","Premier Liga","right",181.0,"Russia","W"	
"Pylyp Budkivsky",26,"Anzhi Makhachkala","Premier Liga","right",196.0,"Ukraine","CF"	
"Juan Lescano",25,"Anzhi Makhachkala","Premier Liga","right",188.0,"Argentina","CF"	
"Aleksandr Prudnikov",29,"Anzhi Makhachkala","Premier Liga","both",185.0,"Russia","CF"	
"Amur Kalmykov",23,"Anzhi Makhachkala","Premier Liga","right",194.0,"Russia","CF"	
"Pavel Dolgov",21,"Anzhi Makhachkala","Premier Liga","right",187.0,"Russia","CF"	
"Ricardinho",28,"FK Tosno","Premier Liga","both",178.0,"Brazil","W"	
"Nikola Trujic",25,"FK Tosno","Premier Liga","right",182.0,"Serbia","W"	
"Reziuan Mirzov",24,"FK Tosno","Premier Liga","right",180.0,"Russia","W"	
"Aleksandr Makarov",21,"FK Tosno","Premier Liga","right",175.0,"Russia","W"	
"Pavel Pogrebnyak",34,"FK Tosno","Premier Liga","left",188.0,"Russia","CF"	
"Alejandro Barbaro",26,"SKA Khabarovsk","Premier Liga","both",177.0,"Argentina  Italy","W"	
"Konstantin Savichev",24,"SKA Khabarovsk","Premier Liga","right",172.0,"Russia","W"	
"Vladislav Nikiforov",28,"SKA Khabarovsk","Premier Liga","right",166.0,"Russia","W"	
"Dmitri Kabutov",25,"SKA Khabarovsk","Premier Liga","right",173.0,"Russia","W"	
"Maksim Kazankov",30,"SKA Khabarovsk","Premier Liga","right",175.0,"Russia  Turkmenistan","W"	
